Date,USD/CNY Central Parity Rate
2021-08-01,6.467900000000001
2021-09-01,6.4854
2021-10-01,6.390700000000001
2021-11-01,6.3794
2021-12-01,6.375699999999999
2022-01-01,6.3746
2022-02-01,6.3222
2022-03-01,6.3482
2022-04-01,6.617699999999999
2022-05-01,6.6607
2022-06-01,6.7114
2022-07-01,6.7437
2022-08-01,6.8906
2022-09-01,7.0998
2022-10-01,7.1768
2022-11-01,7.176899999999999
2022-12-01,6.9646
2023-01-01,6.7604
2023-02-01,6.951900000000001
2023-03-01,6.8717
2023-04-01,6.924
2023-05-01,7.0821
2023-06-01,7.2258
2023-07-01,7.1305
2023-08-01,7.181100000000001
2023-09-01,7.1798
2023-10-01,7.177900000000001
2023-11-01,7.1018
2023-12-01,7.082700000000001
2024-01-01,7.1039
2024-02-01,7.1036
2024-03-01,7.095
2024-04-01,7.106300000000001
2024-05-01,7.1088
2024-06-01,7.1268
