,growth
2010-01-31,-18.332347261029668
2010-02-28,-22.266841100414386
2010-03-31,-23.6590117608632
2010-04-30,-26.841997885401888
2010-05-31,-28.349928150477204
2010-06-30,-29.838419398843754
2010-07-31,-26.815974050878694
2010-08-31,-28.814365371338425
2010-09-30,-27.60816281556726
2010-10-31,-25.822692929001345
2010-11-30,-25.639528767685444
2010-12-31,-25.6493413690002
2011-01-31,-31.36647172920215
2011-02-28,-26.31588890701278
2011-03-31,-25.843194498060882
2011-04-30,-27.895536572095278
2011-05-31,-27.234873520328676
2011-06-30,-25.55417680007563
2011-07-31,-26.916879068559812
2011-08-31,-25.49254421434919
2011-09-30,-24.357213651655886
2011-10-31,-26.010148650879586
2011-11-30,-24.21542243766128
2011-12-31,-24.172980085296885
2012-01-31,-13.771831966754773
2012-02-29,-12.801930064745
2012-03-31,-14.231304603943062
2012-04-30,-13.394953729838527
2012-05-31,-11.042564878399421
2012-06-30,-12.730857935796752
2012-07-31,-11.792087445166008
2012-08-31,-10.597649296295295
2012-09-30,-11.236792685002285
2012-10-31,-9.265564488245076
2012-11-30,-9.961733241328686
2012-12-31,-11.124253655005734
2013-01-31,-7.144393622913862
2013-02-28,-12.255245934788974
2013-03-31,-10.091624355059633
2013-04-30,-8.325006439879042
2013-05-31,-8.306596551473618
2013-06-30,-7.014318084379799
2013-07-31,-6.625159510615243
2013-08-31,-6.780903157030169
2013-09-30,-7.587728921096232
2013-10-31,-5.223901638624234
2013-11-30,-5.397767757284863
2013-12-31,-4.92654062251767
2014-01-31,-9.3221781823887
2014-02-28,-5.887621241067002
2014-03-31,-3.161546407858051
2014-04-30,-4.830557033787507
2014-05-31,-4.1582345072914535
2014-06-30,-4.74558063290023
2014-07-31,-3.6258995532333858
2014-08-31,-4.930780888378813
2014-09-30,-4.374744779504834
2014-10-31,-4.962612794250111
2014-11-30,-5.651581057108832
2014-12-31,-4.560877715448527
2015-01-31,-2.262409458499558
2015-02-28,-6.592060385127807
2015-03-31,-3.2481064629322374
2015-04-30,-1.4667758709291867
2015-05-31,-3.0594879908775585
2015-06-30,-1.1091085203754751
2015-07-31,-0.8238345117829899
2015-08-31,-2.1436201931429064
2015-09-30,-0.24107020917764643
2015-10-31,-1.4355290083084533
2015-11-30,-0.9504849587006796
2015-12-31,-0.7889417033400807
2016-01-31,3.6602070781799942
2016-02-29,7.715950608169472
2016-03-31,2.615797010780151
2016-04-30,1.7214317568027053
2016-05-31,1.2700818495937298
2016-06-30,2.6303635503709875
2016-07-31,2.228836416104964
2016-08-31,3.9085229190782558
2016-09-30,4.082172611812652
2016-10-31,4.64193918294165
2016-11-30,6.395699151449092
2016-12-31,5.89775269951593
2017-01-31,-2.0180727860576866
2017-02-28,-2.514596541291727
2017-03-31,-3.8598877917964556
2017-04-30,-3.353904217808295
2017-05-31,-2.683068187670914
2017-06-30,-3.88798017541282
2017-07-31,-4.150799317965712
2017-08-31,-2.546147131149544
2017-09-30,-2.7266593424238543
2017-10-31,-3.7108142188572684
2017-11-30,-1.8689853231881095
2017-12-31,-1.396541171944392
2018-01-31,-7.703760092623516
2018-02-28,-12.63642580431132
2018-03-31,-4.102457511577043
2018-04-30,-7.568346290606793
2018-05-31,-6.983470652593246
2018-06-30,-5.159806226985855
2018-07-31,-5.985699898341499
2018-08-31,-8.119885125103341
2018-09-30,-8.770468940336512
2018-10-31,-8.96026765807408
2018-11-30,-9.594997175724776
2018-12-31,-10.83780038511824
2019-01-31,-6.146602483437646
2019-02-28,-3.2204040375013765
2019-03-31,-4.410961941481625
2019-04-30,-2.751066176465393
2019-05-31,-2.4651475419828106
2019-06-30,-2.7415845936364485
2019-07-31,-1.1655539930092584
2019-08-31,1.3851621524522786
2019-09-30,-0.17633007697238612
2019-10-31,1.1897753836070126
2019-11-30,4.323909411664858
2019-12-31,3.77597541753713
2020-01-31,10.558985365239518
2020-02-29,20.37585426879304
2020-03-31,11.30542101373777
2020-04-30,8.275126976057331
2020-05-31,9.710787380004469
2020-06-30,11.236198132110312
2020-07-31,9.353309522410107
2020-08-31,7.867000028470302
2020-09-30,11.675041679417548
2020-10-31,13.878807233175063
2020-11-30,7.227432697557147
2020-12-31,10.711893157700937
2021-01-31,-4.022088821603624
2021-02-28,-36.43883165320027
2021-03-31,-14.420894124291067
2021-04-30,-4.27089295445953
2021-05-31,-13.181386738639524
2021-06-30,-11.247150687361836
2021-07-31,-10.694232445121969
2021-08-31,-12.1617434085545
2021-09-30,-11.810753819455625
2021-10-31,-7.708497991933449
2021-11-30,-3.0412809946737003
2021-12-31,-4.331489322526186
2022-01-31,-4.2438475720903845
2022-02-28,3.5422279561114447
2022-03-31,-0.650263653490267
2022-04-30,5.615199247788619
2022-05-31,8.70010088126114
2022-06-30,9.066384978027726
2022-07-31,9.922225169391622
2022-08-31,13.277428927732954
2022-09-30,12.314160064852498
2022-10-31,10.13918625050491
2022-11-30,11.091242802071857
2022-12-31,12.579015410021238
2023-01-31,17.433934659736487
2023-02-28,15.44602944813698
2023-03-31,13.21793630279674
2023-04-30,8.040462159544468
2023-05-31,4.272689863133654
2023-06-30,5.4609540891407855
2023-07-31,5.5421242118660174
2023-08-31,5.449910610793753
2023-09-30,8.02571909978493
2023-10-31,7.703921450433878
2023-11-30,6.547928507718208
2023-12-31,6.8741060084372645
2024-01-31,3.6408755986051613
2024-02-29,5.582446366384648
2024-03-31,5.80688500974925
2024-04-30,6.250504000846525
2024-05-31,7.444669054770043
2024-06-30,8.22209247812545
